Jap_words,ProbJ,    ,Chi_words,ProbC,    ,Mex_words,ProbM
japanese,0.03,    ,chinese,0.03,    ,mexican,0.03
rice,0.01,    ,fried,0.01,    ,tacos,0.02
ramen,0.01,    ,rice,0.01,    ,salsa,0.01
curry,0.01,    ,pork,0.01,    ,tortillas,0.01
japan,0.01,    ,chicken,0.01,    ,mexico,0.01
homemade,0.01,    ,noodles,0.01,    ,corn,0.01
sushi,0.01,    ,oil,0.01,    ,beans,0.01
chicken,0.01,    ,homemade,0.01,    ,taco,0.01
miso,0.01,    ,soup,0.01,    ,chile,0.01
salmon,0.01,    ,egg,0.01,    ,chicken,0.01
pork,0.01,    ,tofu,0.01,    ,cheese,0.01
udon,0.01,    ,beef,0.01,    ,birria,0.01
okonomiyaki,0.01,    ,stir,0.01,    ,homemade,0.01
soup,0.0,    ,spicy,0.01,    ,tortilla,0.01
katsu,0.0,    ,sichuan,0.01,    ,carne,0.01
bowl,0.0,    ,fish,0.01,    ,mole,0.0
egg,0.0,    ,garlic,0.01,    ,enchiladas,0.0
tofu,0.0,    ,dumplings,0.01,    ,queso,0.0
noodles,0.0,    ,soy,0.01,    ,chiles,0.0
fried,0.0,    ,hot,0.0,    ,pork,0.0
